item_id,activity_id,activity_version,grade_band,strand,skill_code,mechanic,prompt_text,prompt_audio_text,answer_format,item_type,correct_answer,distractors,choices,feedback,assets,telemetry_expected,accessibility
LEA-EY-ACT-0001-ITEM-01,LEA-EY-ACT-0001,1.2,Pre-K,Oral Language,EY-PRE-LIT-ORA-01,Drag to Build,Put the steps in order for: listen/respond to simple directions.,Drag the cards to build the correct answer. Put the steps in order for: listen/respond to simple directions.,ordered_array,drag_sequence,Look > Listen > Do it > Check,"['Listen > Look > Do it > Check', 'Check > Do it > Listen > Look', 'Look > Listen > Look > Listen']","['Listen > Look > Do it > Check', 'Check > Do it > Listen > Look', 'Look > Listen > Look > Listen', 'Look > Listen > Do it > Check']","{'correct': 'Great work. You listened carefully.', 'incorrect': 'Try again. Listen once more, use the hint, and choose carefully.', 'hint': 'Look for the clue linked to listen/respond to simple directions.', 'interventions_by_error_type': {'sequence_order': 'Mini-teach: model one example of listen/respond to simple directions, practise one guided item, then return to the task.', 'slow_correct': 'Praise accuracy, remove time pressure, and build fluency with two repeated examples.', 'multiple_attempts': 'Reduce choices to two and replay the audio prompt.'}}","{'illustrated_card_svg': '/media/cards/svg/LEA-EY-ACT-0001-ITEM-01-CARD.svg', 'success_animation': '/media/animations/lottie/success_star.json', 'audio_ssml': '/media/audio/ssml/LEA-EY-ACT-0001-ITEM-01.ssml', 'audio_target_url': '/media/audio/mp3/LEA-EY-ACT-0001-ITEM-01.mp3'}","['accuracy', 'prompt_level', 'response_time_seconds', 'attempt_count', 'error_type', 'hint_count', 'audio_replay_count']","{'alt_text': 'Illustrated card for Look > Listen > Do it > Check', 'caption_text': 'Put the steps in order for: listen/respond to simple directions.', 'keyboard_focus_order': 1}"
LEA-EY-ACT-0001-ITEM-02,LEA-EY-ACT-0001,1.2,Pre-K,Oral Language,EY-PRE-LIT-ORA-01,Drag to Build,Put the steps in order for: listen/respond to simple directions.,Drag the cards to build the correct answer. Put the steps in order for: listen/respond to simple directions.,ordered_array,drag_sequence,Look > Listen > Do it > Check,"['Look > Listen > Look > Listen', 'Listen > Look > Do it > Check', 'Check > Do it > Listen > Look']","['Look > Listen > Look > Listen', 'Listen > Look > Do it > Check', 'Look > Listen > Do it > Check', 'Check > Do it > Listen > Look']","{'correct': 'Excellent. You are ready for the next item.', 'incorrect': 'Try again. Listen once more, use the hint, and choose carefully.', 'hint': 'Look for the clue linked to listen/respond to simple directions.', 'interventions_by_error_type': {'sequence_order': 'Mini-teach: model one example of listen/respond to simple directions, practise one guided item, then return to the task.', 'slow_correct': 'Praise accuracy, remove time pressure, and build fluency with two repeated examples.', 'multiple_attempts': 'Reduce choices to two and replay the audio prompt.'}}","{'illustrated_card_svg': '/media/cards/svg/LEA-EY-ACT-0001-ITEM-02-CARD.svg', 'success_animation': '/media/animations/lottie/success_star.json', 'audio_ssml': '/media/audio/ssml/LEA-EY-ACT-0001-ITEM-02.ssml', 'audio_target_url': '/media/audio/mp3/LEA-EY-ACT-0001-ITEM-02.mp3'}","['accuracy', 'prompt_level', 'response_time_seconds', 'attempt_count', 'error_type', 'hint_count', 'audio_replay_count']","{'alt_text': 'Illustrated card for Look > Listen > Do it > Check', 'caption_text': 'Put the steps in order for: listen/respond to simple directions.', 'keyboard_focus_order': 2}"
LEA-EY-ACT-0001-ITEM-03,LEA-EY-ACT-0001,1.2,Pre-K,Oral Language,EY-PRE-LIT-ORA-01,Drag to Build,Put the steps in order for: listen/respond to simple directions.,Drag the cards to build the correct answer. Put the steps in order for: listen/respond to simple directions.,ordered_array,drag_sequence,Look > Listen > Do it > Check,"['Look > Listen > Look > Listen', 'Check > Do it > Listen > Look', 'Listen > Look > Do it > Check']","['Look > Listen > Look > Listen', 'Check > Do it > Listen > Look', 'Listen > Look > Do it > Check', 'Look > Listen > Do it > Check']","{'correct': 'Great work. You listened carefully.', 'incorrect': 'Try again. Listen once more, use the hint, and choose carefully.', 'hint': 'Look for the clue linked to listen/respond to simple directions.', 'interventions_by_error_type': {'sequence_order': 'Mini-teach: model one example of listen/respond to simple directions, practise one guided item, then return to the task.', 'slow_correct': 'Praise accuracy, remove time pressure, and build fluency with two repeated examples.', 'multiple_attempts': 'Reduce choices to two and replay the audio prompt.'}}","{'illustrated_card_svg': '/media/cards/svg/LEA-EY-ACT-0001-ITEM-03-CARD.svg', 'success_animation': '/media/animations/lottie/success_star.json', 'audio_ssml': '/media/audio/ssml/LEA-EY-ACT-0001-ITEM-03.ssml', 'audio_target_url': '/media/audio/mp3/LEA-EY-ACT-0001-ITEM-03.mp3'}","['accuracy', 'prompt_level', 'response_time_seconds', 'attempt_count', 'error_type', 'hint_count', 'audio_replay_count']","{'alt_text': 'Illustrated card for Look > Listen > Do it > Check', 'caption_text': 'Put the steps in order for: listen/respond to simple directions.', 'keyboard_focus_order': 3}"
LEA-EY-ACT-0001-ITEM-04,LEA-EY-ACT-0001,1.2,Pre-K,Oral Language,EY-PRE-LIT-ORA-01,Drag to Build,Put the steps in order for: listen/respond to simple directions.,Drag the cards to build the correct answer. Put the steps in order for: listen/respond to simple directions.,ordered_array,drag_sequence,Look > Listen > Do it > Check,"['Check > Do it > Listen > Look', 'Listen > Look > Do it > Check', 'Look > Listen > Look > Listen']","['Check > Do it > Listen > Look', 'Listen > Look > Do it > Check', 'Look > Listen > Look > Listen', 'Look > Listen > Do it > Check']","{'correct': 'Great work. You listened carefully.', 'incorrect': 'Try again. Listen once more, use the hint, and choose carefully.', 'hint': 'Look for the clue linked to listen/respond to simple directions.', 'interventions_by_error_type': {'sequence_order': 'Mini-teach: model one example of listen/respond to simple directions, practise one guided item, then return to the task.', 'slow_correct': 'Praise accuracy, remove time pressure, and build fluency with two repeated examples.', 'multiple_attempts': 'Reduce choices to two and replay the audio prompt.'}}","{'illustrated_card_svg': '/media/cards/svg/LEA-EY-ACT-0001-ITEM-04-CARD.svg', 'success_animation': '/media/animations/lottie/success_star.json', 'audio_ssml': '/media/audio/ssml/LEA-EY-ACT-0001-ITEM-04.ssml', 'audio_target_url': '/media/audio/mp3/LEA-EY-ACT-0001-ITEM-04.mp3'}","['accuracy', 'prompt_level', 'response_time_seconds', 'attempt_count', 'error_type', 'hint_count', 'audio_replay_count']","{'alt_text': 'Illustrated card for Look > Listen > Do it > Check', 'caption_text': 'Put the steps in order for: listen/respond to simple directions.', 'keyboard_focus_order': 4}"
LEA-EY-ACT-0001-ITEM-05,LEA-EY-ACT-0001,1.2,Pre-K,Oral Language,EY-PRE-LIT-ORA-01,Drag to Build,Put the steps in order for: listen/respond to simple directions.,Drag the cards to build the correct answer. Put the steps in order for: listen/respond to simple directions.,ordered_array,drag_sequence,Look > Listen > Do it > Check,"['Check > Do it > Listen > Look', 'Look > Listen > Look > Listen', 'Listen > Look > Do it > Check']","['Check > Do it > Listen > Look', 'Look > Listen > Look > Listen', 'Listen > Look > Do it > Check', 'Look > Listen > Do it > Check']","{'correct': 'Excellent. You are ready for the next item.', 'incorrect': 'Try again. Listen once more, use the hint, and choose carefully.', 'hint': 'Look for the clue linked to listen/respond to simple directions.', 'interventions_by_error_type': {'sequence_order': 'Mini-teach: model one example of listen/respond to simple directions, practise one guided item, then return to the task.', 'slow_correct': 'Praise accuracy, remove time pressure, and build fluency with two repeated examples.', 'multiple_attempts': 'Reduce choices to two and replay the audio prompt.'}}","{'illustrated_card_svg': '/media/cards/svg/LEA-EY-ACT-0001-ITEM-05-CARD.svg', 'success_animation': '/media/animations/lottie/success_star.json', 'audio_ssml': '/media/audio/ssml/LEA-EY-ACT-0001-ITEM-05.ssml', 'audio_target_url': '/media/audio/mp3/LEA-EY-ACT-0001-ITEM-05.mp3'}","['accuracy', 'prompt_level', 'response_time_seconds', 'attempt_count', 'error_type', 'hint_count', 'audio_replay_count']","{'alt_text': 'Illustrated card for Look > Listen > Do it > Check', 'caption_text': 'Put the steps in order for: listen/respond to simple directions.', 'keyboard_focus_order': 5}"
LEA-EY-ACT-0001-ITEM-06,LEA-EY-ACT-0001,1.2,Pre-K,Oral Language,EY-PRE-LIT-ORA-01,Drag to Build,Put the steps in order for: listen/respond to simple directions.,Drag the cards to build the correct answer. Put the steps in order for: listen/respond to simple directions.,ordered_array,drag_sequence,Look > Listen > Do it > Check,"['Listen > Look > Do it > Check', 'Check > Do it > Listen > Look', 'Look > Listen > Look > Listen']","['Listen > Look > Do it > Check', 'Check > Do it > Listen > Look', 'Look > Listen > Do it > Check', 'Look > Listen > Look > Listen']","{'correct': 'Excellent. You are ready for the next item.', 'incorrect': 'Try again. Listen once more, use the hint, and choose carefully.', 'hint': 'Look for the clue linked to listen/respond to simple directions.', 'interventions_by_error_type': {'sequence_order': 'Mini-teach: model one example of listen/respond to simple directions, practise one guided item, then return to the task.', 'slow_correct': 'Praise accuracy, remove time pressure, and build fluency with two repeated examples.', 'multiple_attempts': 'Reduce choices to two and replay the audio prompt.'}}","{'illustrated_card_svg': '/media/cards/svg/LEA-EY-ACT-0001-ITEM-06-CARD.svg', 'success_animation': '/media/animations/lottie/success_star.json', 'audio_ssml': '/media/audio/ssml/LEA-EY-ACT-0001-ITEM-06.ssml', 'audio_target_url': '/media/audio/mp3/LEA-EY-ACT-0001-ITEM-06.mp3'}","['accuracy', 'prompt_level', 'response_time_seconds', 'attempt_count', 'error_type', 'hint_count', 'audio_replay_count']","{'alt_text': 'Illustrated card for Look > Listen > Do it > Check', 'caption_text': 'Put the steps in order for: listen/respond to simple directions.', 'keyboard_focus_order': 6}"
LEA-EY-ACT-0001-ITEM-07,LEA-EY-ACT-0001,1.2,Pre-K,Oral Language,EY-PRE-LIT-ORA-01,Drag to Build,Put the steps in order for: listen/respond to simple directions.,Drag the cards to build the correct answer. Put the steps in order for: listen/respond to simple directions.,ordered_array,drag_sequence,Look > Listen > Do it > Check,"['Check > Do it > Listen > Look', 'Look > Listen > Look > Listen', 'Listen > Look > Do it > Check']","['Check > Do it > Listen > Look', 'Look > Listen > Look > Listen', 'Look > Listen > Do it > Check', 'Listen > Look > Do it > Check']","{'correct': 'Excellent. You are ready for the next item.', 'incorrect': 'Try again. Listen once more, use the hint, and choose carefully.', 'hint': 'Look for the clue linked to listen/respond to simple directions.', 'interventions_by_error_type': {'sequence_order': 'Mini-teach: model one example of listen/respond to simple directions, practise one guided item, then return to the task.', 'slow_correct': 'Praise accuracy, remove time pressure, and build fluency with two repeated examples.', 'multiple_attempts': 'Reduce choices to two and replay the audio prompt.'}}","{'illustrated_card_svg': '/media/cards/svg/LEA-EY-ACT-0001-ITEM-07-CARD.svg', 'success_animation': '/media/animations/lottie/success_star.json', 'audio_ssml': '/media/audio/ssml/LEA-EY-ACT-0001-ITEM-07.ssml', 'audio_target_url': '/media/audio/mp3/LEA-EY-ACT-0001-ITEM-07.mp3'}","['accuracy', 'prompt_level', 'response_time_seconds', 'attempt_count', 'error_type', 'hint_count', 'audio_replay_count']","{'alt_text': 'Illustrated card for Look > Listen > Do it > Check', 'caption_text': 'Put the steps in order for: listen/respond to simple directions.', 'keyboard_focus_order': 7}"
LEA-EY-ACT-0001-ITEM-08,LEA-EY-ACT-0001,1.2,Pre-K,Oral Language,EY-PRE-LIT-ORA-01,Drag to Build,Put the steps in order for: listen/respond to simple directions.,Drag the cards to build the correct answer. Put the steps in order for: listen/respond to simple directions.,ordered_array,drag_sequence,Look > Listen > Do it > Check,"['Listen > Look > Do it > Check', 'Check > Do it > Listen > Look', 'Look > Listen > Look > Listen']","['Look > Listen > Do it > Check', 'Listen > Look > Do it > Check', 'Check > Do it > Listen > Look', 'Look > Listen > Look > Listen']","{'correct': 'Great work. You listened carefully.', 'incorrect': 'Try again. Listen once more, use the hint, and choose carefully.', 'hint': 'Look for the clue linked to listen/respond to simple directions.', 'interventions_by_error_type': {'sequence_order': 'Mini-teach: model one example of listen/respond to simple directions, practise one guided item, then return to the task.', 'slow_correct': 'Praise accuracy, remove time pressure, and build fluency with two repeated examples.', 'multiple_attempts': 'Reduce choices to two and replay the audio prompt.'}}","{'illustrated_card_svg': '/media/cards/svg/LEA-EY-ACT-0001-ITEM-08-CARD.svg', 'success_animation': '/media/animations/lottie/success_star.json', 'audio_ssml': '/media/audio/ssml/LEA-EY-ACT-0001-ITEM-08.ssml', 'audio_target_url': '/media/audio/mp3/LEA-EY-ACT-0001-ITEM-08.mp3'}","['accuracy', 'prompt_level', 'response_time_seconds', 'attempt_count', 'error_type', 'hint_count', 'audio_replay_count']","{'alt_text': 'Illustrated card for Look > Listen > Do it > Check', 'caption_text': 'Put the steps in order for: listen/respond to simple directions.', 'keyboard_focus_order': 8}"
LEA-EY-ACT-0002-ITEM-01,LEA-EY-ACT-0002,1.2,Pre-K,Oral Language,EY-PRE-LIT-ORA-02,Blend Builder,Blend the sounds in mum: m-u-m. What word do you hear?,Listen to the sounds and blend them into a word. Blend the sounds in mum: m-u-m. What word do you hear?,text,single_choice,mum,"['sit', 'dad', 'bag']","['sit', 'dad', 'bag', 'mum']","{'correct': 'Well done. You chose the best answer.', 'incorrect': 'Try again. Listen once more, use the hint, and choose carefully.', 'hint': 'Look for the clue linked to listen/respond to simple directions.', 'interventions_by_error_type': {'phoneme_confusion': 'Mini-teach: model one example of listen/respond to simple directions, practise one guided item, then return to the task.', 'slow_correct': 'Praise accuracy, remove time pressure, and build fluency with two repeated examples.', 'multiple_attempts': 'Reduce choices to two and replay the audio prompt.'}}","{'illustrated_card_svg': '/media/cards/svg/LEA-EY-ACT-0002-ITEM-01-CARD.svg', 'success_animation': '/media/animations/lottie/success_star.json', 'audio_ssml': '/media/audio/ssml/LEA-EY-ACT-0002-ITEM-01.ssml', 'audio_target_url': '/media/audio/mp3/LEA-EY-ACT-0002-ITEM-01.mp3'}","['accuracy', 'prompt_level', 'response_time_seconds', 'attempt_count', 'error_type', 'hint_count', 'audio_replay_count']","{'alt_text': 'Illustrated card for mum', 'caption_text': 'Blend the sounds in mum: m-u-m. What word do you hear?', 'keyboard_focus_order': 1}"
LEA-EY-ACT-0002-ITEM-02,LEA-EY-ACT-0002,1.2,Pre-K,Oral Language,EY-PRE-LIT-ORA-02,Blend Builder,Blend the sounds in dad: d-a-d. What word do you hear?,Listen to the sounds and blend them into a word. Blend the sounds in dad: d-a-d. What word do you hear?,text,single_choice,dad,"['hop', 'big', 'cat']","['hop', 'dad', 'big', 'cat']","{'correct': 'Well done. You chose the best answer.', 'incorrect': 'Try again. Listen once more, use the hint, and choose carefully.', 'hint': 'Look for the clue linked to listen/respond to simple directions.', 'interventions_by_error_type': {'phoneme_confusion': 'Mini-teach: model one example of listen/respond to simple directions, practise one guided item, then return to the task.', 'slow_correct': 'Praise accuracy, remove time pressure, and build fluency with two repeated examples.', 'multiple_attempts': 'Reduce choices to two and replay the audio prompt.'}}","{'illustrated_card_svg': '/media/cards/svg/LEA-EY-ACT-0002-ITEM-02-CARD.svg', 'success_animation': '/media/animations/lottie/success_star.json', 'audio_ssml': '/media/audio/ssml/LEA-EY-ACT-0002-ITEM-02.ssml', 'audio_target_url': '/media/audio/mp3/LEA-EY-ACT-0002-ITEM-02.mp3'}","['accuracy', 'prompt_level', 'response_time_seconds', 'attempt_count', 'error_type', 'hint_count', 'audio_replay_count']","{'alt_text': 'Illustrated card for dad', 'caption_text': 'Blend the sounds in dad: d-a-d. What word do you hear?', 'keyboard_focus_order': 2}"
