activity_id,phase,grade_band,subject,strand,skill,skill_code,title,mechanic,learning_goal,prerequisite,item_count,expected_duration_min,feedback_type,mastery_rule,remediation_trigger,extension_unlock,reward_points,assets_needed,dashboard_metrics,downloadable_pair,accessibility_notes,version,canonical_telemetry_signals,feedback_mapping_required
LEA-EY-ACT-0001,Early Years Interactive Engine,Pre-K,Literacy,Oral Language,listen/respond to simple directions,EY-PRE-LIT-ORA-01,Oral Language: Listen/Respond To Simple Directions - Drag to Build 1,Drag to Build,Learner can listen/respond to simple directions through a short guided drag to build activity.,Previous skill in strand or diagnostic placement pass,8,4,audio + visual + child-friendly text + feedback.interventions_by_error_type[error_type],"Mastered at accuracy >= 0.85, prompt_level <= 2, across 2 completed sessions","Route to targeted mini-teach if accuracy < 0.70 after 5 items, consecutive_same_error_count >= 2, or response_time_seconds > baseline_average_response_time_seconds * 1.50 and accuracy == 1.0","Unlock challenge when accuracy >= 0.90, prompt_level <= 1, and response_time_seconds <= baseline_average_response_time_seconds * 1.10",12,"voiceover, icon set, illustrated cards, success animation","accuracy, diagnostic_score, attempts, prompt_level, response_time_seconds, error_type, hint_count, audio_replay_count, last_mastery_date",home practice mini-sheet + teacher small-group follow-up card,"keyboard path, alt text, captions, replay audio, no time pressure by default",1.2,learner_id;session_id;activity_id;activity_version;item_id;accuracy;diagnostic_score;prompt_level;response_time_seconds;baseline_average_response_time_seconds;attempt_count;consecutive_same_error_count;error_type;hint_count;audio_replay_count;session_spacing_days;learner_exit_count;teacher_override,"feedback.interventions_by_error_type[error_type] first, then fallback_intervention"
LEA-EY-ACT-0002,Early Years Interactive Engine,Pre-K,Literacy,Oral Language,listen/respond to simple directions,EY-PRE-LIT-ORA-02,Oral Language: Listen/Respond To Simple Directions - Blend Builder 2,Blend Builder,Learner can listen/respond to simple directions through a short guided blend builder activity.,Previous skill in strand or diagnostic placement pass,8,4,audio + visual + child-friendly text + feedback.interventions_by_error_type[error_type],"Mastered at accuracy >= 0.85, prompt_level <= 2, across 2 completed sessions","Route to targeted mini-teach if accuracy < 0.70 after 5 items, consecutive_same_error_count >= 2, or response_time_seconds > baseline_average_response_time_seconds * 1.50 and accuracy == 1.0","Unlock challenge when accuracy >= 0.90, prompt_level <= 1, and response_time_seconds <= baseline_average_response_time_seconds * 1.10",14,"voiceover, icon set, illustrated cards, success animation","accuracy, diagnostic_score, attempts, prompt_level, response_time_seconds, error_type, hint_count, audio_replay_count, last_mastery_date",home practice mini-sheet + teacher small-group follow-up card,"keyboard path, alt text, captions, replay audio, no time pressure by default",1.2,learner_id;session_id;activity_id;activity_version;item_id;accuracy;diagnostic_score;prompt_level;response_time_seconds;baseline_average_response_time_seconds;attempt_count;consecutive_same_error_count;error_type;hint_count;audio_replay_count;session_spacing_days;learner_exit_count;teacher_override,"feedback.interventions_by_error_type[error_type] first, then fallback_intervention"
LEA-EY-ACT-0003,Early Years Interactive Engine,Pre-K,Literacy,Oral Language,listen/respond to simple directions,EY-PRE-LIT-ORA-03,Oral Language: Listen/Respond To Simple Directions - Find the Mistake 3,Find the Mistake,Learner can listen/respond to simple directions through a short guided find the mistake activity.,Previous skill in strand or diagnostic placement pass,8,4,audio + visual + child-friendly text + feedback.interventions_by_error_type[error_type],"Mastered at accuracy >= 0.85, prompt_level <= 2, across 2 completed sessions","Route to targeted mini-teach if accuracy < 0.70 after 5 items, consecutive_same_error_count >= 2, or response_time_seconds > baseline_average_response_time_seconds * 1.50 and accuracy == 1.0","Unlock challenge when accuracy >= 0.90, prompt_level <= 1, and response_time_seconds <= baseline_average_response_time_seconds * 1.10",16,"voiceover, icon set, illustrated cards, success animation","accuracy, diagnostic_score, attempts, prompt_level, response_time_seconds, error_type, hint_count, audio_replay_count, last_mastery_date",home practice mini-sheet + teacher small-group follow-up card,"keyboard path, alt text, captions, replay audio, no time pressure by default",1.2,learner_id;session_id;activity_id;activity_version;item_id;accuracy;diagnostic_score;prompt_level;response_time_seconds;baseline_average_response_time_seconds;attempt_count;consecutive_same_error_count;error_type;hint_count;audio_replay_count;session_spacing_days;learner_exit_count;teacher_override,"feedback.interventions_by_error_type[error_type] first, then fallback_intervention"
LEA-EY-ACT-0004,Early Years Interactive Engine,Pre-K,Literacy,Oral Language,listen/respond to simple directions,EY-PRE-LIT-ORA-04,Oral Language: Listen/Respond To Simple Directions - Read and Record 4,Read and Record,Learner can listen/respond to simple directions through a short guided read and record activity.,Previous skill in strand or diagnostic placement pass,8,4,audio + visual + child-friendly text + feedback.interventions_by_error_type[error_type],"Mastered at accuracy >= 0.85, prompt_level <= 2, across 2 completed sessions","Route to targeted mini-teach if accuracy < 0.70 after 5 items, consecutive_same_error_count >= 2, or response_time_seconds > baseline_average_response_time_seconds * 1.50 and accuracy == 1.0","Unlock challenge when accuracy >= 0.90, prompt_level <= 1, and response_time_seconds <= baseline_average_response_time_seconds * 1.10",18,"voiceover, icon set, illustrated cards, success animation","accuracy, diagnostic_score, attempts, prompt_level, response_time_seconds, error_type, hint_count, audio_replay_count, last_mastery_date",home practice mini-sheet + teacher small-group follow-up card,"keyboard path, alt text, captions, replay audio, no time pressure by default",1.2,learner_id;session_id;activity_id;activity_version;item_id;accuracy;diagnostic_score;prompt_level;response_time_seconds;baseline_average_response_time_seconds;attempt_count;consecutive_same_error_count;error_type;hint_count;audio_replay_count;session_spacing_days;learner_exit_count;teacher_override,"feedback.interventions_by_error_type[error_type] first, then fallback_intervention"
LEA-EY-ACT-0005,Early Years Interactive Engine,Pre-K,Literacy,Print Awareness,book handling and environmental print,EY-PRE-LIT-PRI-01,Print Awareness: Book Handling And Environmental Print - Find the Mistake 1,Find the Mistake,Learner can book handling and environmental print through a short guided find the mistake activity.,Previous skill in strand or diagnostic placement pass,8,4,audio + visual + child-friendly text + feedback.interventions_by_error_type[error_type],"Mastered at accuracy >= 0.85, prompt_level <= 2, across 2 completed sessions","Route to targeted mini-teach if accuracy < 0.70 after 5 items, consecutive_same_error_count >= 2, or response_time_seconds > baseline_average_response_time_seconds * 1.50 and accuracy == 1.0","Unlock challenge when accuracy >= 0.90, prompt_level <= 1, and response_time_seconds <= baseline_average_response_time_seconds * 1.10",12,"voiceover, icon set, illustrated cards, success animation","accuracy, diagnostic_score, attempts, prompt_level, response_time_seconds, error_type, hint_count, audio_replay_count, last_mastery_date",home practice mini-sheet + teacher small-group follow-up card,"keyboard path, alt text, captions, replay audio, no time pressure by default",1.2,learner_id;session_id;activity_id;activity_version;item_id;accuracy;diagnostic_score;prompt_level;response_time_seconds;baseline_average_response_time_seconds;attempt_count;consecutive_same_error_count;error_type;hint_count;audio_replay_count;session_spacing_days;learner_exit_count;teacher_override,"feedback.interventions_by_error_type[error_type] first, then fallback_intervention"
LEA-EY-ACT-0006,Early Years Interactive Engine,Pre-K,Literacy,Print Awareness,book handling and environmental print,EY-PRE-LIT-PRI-02,Print Awareness: Book Handling And Environmental Print - Read and Record 2,Read and Record,Learner can book handling and environmental print through a short guided read and record activity.,Previous skill in strand or diagnostic placement pass,8,4,audio + visual + child-friendly text + feedback.interventions_by_error_type[error_type],"Mastered at accuracy >= 0.85, prompt_level <= 2, across 2 completed sessions","Route to targeted mini-teach if accuracy < 0.70 after 5 items, consecutive_same_error_count >= 2, or response_time_seconds > baseline_average_response_time_seconds * 1.50 and accuracy == 1.0","Unlock challenge when accuracy >= 0.90, prompt_level <= 1, and response_time_seconds <= baseline_average_response_time_seconds * 1.10",14,"voiceover, icon set, illustrated cards, success animation","accuracy, diagnostic_score, attempts, prompt_level, response_time_seconds, error_type, hint_count, audio_replay_count, last_mastery_date",home practice mini-sheet + teacher small-group follow-up card,"keyboard path, alt text, captions, replay audio, no time pressure by default",1.2,learner_id;session_id;activity_id;activity_version;item_id;accuracy;diagnostic_score;prompt_level;response_time_seconds;baseline_average_response_time_seconds;attempt_count;consecutive_same_error_count;error_type;hint_count;audio_replay_count;session_spacing_days;learner_exit_count;teacher_override,"feedback.interventions_by_error_type[error_type] first, then fallback_intervention"
LEA-EY-ACT-0007,Early Years Interactive Engine,Pre-K,Literacy,Print Awareness,book handling and environmental print,EY-PRE-LIT-PRI-03,Print Awareness: Book Handling And Environmental Print - Tap the Sound 3,Tap the Sound,Learner can book handling and environmental print through a short guided tap the sound activity.,Previous skill in strand or diagnostic placement pass,8,4,audio + visual + child-friendly text + feedback.interventions_by_error_type[error_type],"Mastered at accuracy >= 0.85, prompt_level <= 2, across 2 completed sessions","Route to targeted mini-teach if accuracy < 0.70 after 5 items, consecutive_same_error_count >= 2, or response_time_seconds > baseline_average_response_time_seconds * 1.50 and accuracy == 1.0","Unlock challenge when accuracy >= 0.90, prompt_level <= 1, and response_time_seconds <= baseline_average_response_time_seconds * 1.10",16,"voiceover, icon set, illustrated cards, success animation","accuracy, diagnostic_score, attempts, prompt_level, response_time_seconds, error_type, hint_count, audio_replay_count, last_mastery_date",home practice mini-sheet + teacher small-group follow-up card,"keyboard path, alt text, captions, replay audio, no time pressure by default",1.2,learner_id;session_id;activity_id;activity_version;item_id;accuracy;diagnostic_score;prompt_level;response_time_seconds;baseline_average_response_time_seconds;attempt_count;consecutive_same_error_count;error_type;hint_count;audio_replay_count;session_spacing_days;learner_exit_count;teacher_override,"feedback.interventions_by_error_type[error_type] first, then fallback_intervention"
LEA-EY-ACT-0008,Early Years Interactive Engine,Pre-K,Literacy,Print Awareness,book handling and environmental print,EY-PRE-LIT-PRI-04,Print Awareness: Book Handling And Environmental Print - Drag to Build 4,Drag to Build,Learner can book handling and environmental print through a short guided drag to build activity.,Previous skill in strand or diagnostic placement pass,8,4,audio + visual + child-friendly text + feedback.interventions_by_error_type[error_type],"Mastered at accuracy >= 0.85, prompt_level <= 2, across 2 completed sessions","Route to targeted mini-teach if accuracy < 0.70 after 5 items, consecutive_same_error_count >= 2, or response_time_seconds > baseline_average_response_time_seconds * 1.50 and accuracy == 1.0","Unlock challenge when accuracy >= 0.90, prompt_level <= 1, and response_time_seconds <= baseline_average_response_time_seconds * 1.10",18,"voiceover, icon set, illustrated cards, success animation","accuracy, diagnostic_score, attempts, prompt_level, response_time_seconds, error_type, hint_count, audio_replay_count, last_mastery_date",home practice mini-sheet + teacher small-group follow-up card,"keyboard path, alt text, captions, replay audio, no time pressure by default",1.2,learner_id;session_id;activity_id;activity_version;item_id;accuracy;diagnostic_score;prompt_level;response_time_seconds;baseline_average_response_time_seconds;attempt_count;consecutive_same_error_count;error_type;hint_count;audio_replay_count;session_spacing_days;learner_exit_count;teacher_override,"feedback.interventions_by_error_type[error_type] first, then fallback_intervention"
LEA-EY-ACT-0009,Early Years Interactive Engine,Pre-K,Literacy,Phonological Awareness,rhyme and syllable awareness,EY-PRE-LIT-PHO-01,Phonological Awareness: Rhyme And Syllable Awareness - Tap the Sound 1,Tap the Sound,Learner can rhyme and syllable awareness through a short guided tap the sound activity.,Previous skill in strand or diagnostic placement pass,8,4,audio + visual + child-friendly text + feedback.interventions_by_error_type[error_type],"Mastered at accuracy >= 0.85, prompt_level <= 2, across 2 completed sessions","Route to targeted mini-teach if accuracy < 0.70 after 5 items, consecutive_same_error_count >= 2, or response_time_seconds > baseline_average_response_time_seconds * 1.50 and accuracy == 1.0","Unlock challenge when accuracy >= 0.90, prompt_level <= 1, and response_time_seconds <= baseline_average_response_time_seconds * 1.10",12,"voiceover, icon set, illustrated cards, success animation","accuracy, diagnostic_score, attempts, prompt_level, response_time_seconds, error_type, hint_count, audio_replay_count, last_mastery_date",home practice mini-sheet + teacher small-group follow-up card,"keyboard path, alt text, captions, replay audio, no time pressure by default",1.2,learner_id;session_id;activity_id;activity_version;item_id;accuracy;diagnostic_score;prompt_level;response_time_seconds;baseline_average_response_time_seconds;attempt_count;consecutive_same_error_count;error_type;hint_count;audio_replay_count;session_spacing_days;learner_exit_count;teacher_override,"feedback.interventions_by_error_type[error_type] first, then fallback_intervention"
LEA-EY-ACT-0010,Early Years Interactive Engine,Pre-K,Literacy,Phonological Awareness,rhyme and syllable awareness,EY-PRE-LIT-PHO-02,Phonological Awareness: Rhyme And Syllable Awareness - Drag to Build 2,Drag to Build,Learner can rhyme and syllable awareness through a short guided drag to build activity.,Previous skill in strand or diagnostic placement pass,8,4,audio + visual + child-friendly text + feedback.interventions_by_error_type[error_type],"Mastered at accuracy >= 0.85, prompt_level <= 2, across 2 completed sessions","Route to targeted mini-teach if accuracy < 0.70 after 5 items, consecutive_same_error_count >= 2, or response_time_seconds > baseline_average_response_time_seconds * 1.50 and accuracy == 1.0","Unlock challenge when accuracy >= 0.90, prompt_level <= 1, and response_time_seconds <= baseline_average_response_time_seconds * 1.10",14,"voiceover, icon set, illustrated cards, success animation","accuracy, diagnostic_score, attempts, prompt_level, response_time_seconds, error_type, hint_count, audio_replay_count, last_mastery_date",home practice mini-sheet + teacher small-group follow-up card,"keyboard path, alt text, captions, replay audio, no time pressure by default",1.2,learner_id;session_id;activity_id;activity_version;item_id;accuracy;diagnostic_score;prompt_level;response_time_seconds;baseline_average_response_time_seconds;attempt_count;consecutive_same_error_count;error_type;hint_count;audio_replay_count;session_spacing_days;learner_exit_count;teacher_override,"feedback.interventions_by_error_type[error_type] first, then fallback_intervention"
