lesson_id,level,course,module_number,module_title,lesson_number,lesson_title,skill,worksheet_docx,worksheet_pdf,answer_key,audio_file
A1-M01-L01,A1,A1 Starter English,1,Personal Information and Classroom English,1,Personal Information and Classroom English: Grammar Lesson 1,grammar,worksheets/a1-m01-l01-personal-information-and-classroom-english-grammar-lesson-1.docx,worksheets/a1-m01-l01-personal-information-and-classroom-english-grammar-lesson-1.pdf,answer_keys/a1-m01-l01-personal-information-and-classroom-english-grammar-lesson-1-answer-key.pdf,audio/a1-m01-l01-listening.mp3
A1-M01-L02,A1,A1 Starter English,1,Personal Information and Classroom English,2,Personal Information and Classroom English: Vocabulary Lesson 2,vocabulary,worksheets/a1-m01-l02-personal-information-and-classroom-english-vocabulary-lesson-2.docx,worksheets/a1-m01-l02-personal-information-and-classroom-english-vocabulary-lesson-2.pdf,answer_keys/a1-m01-l02-personal-information-and-classroom-english-vocabulary-lesson-2-answer-key.pdf,audio/a1-m01-l02-listening.mp3
A1-M01-L03,A1,A1 Starter English,1,Personal Information and Classroom English,3,Personal Information and Classroom English: Reading Lesson 3,reading,worksheets/a1-m01-l03-personal-information-and-classroom-english-reading-lesson-3.docx,worksheets/a1-m01-l03-personal-information-and-classroom-english-reading-lesson-3.pdf,answer_keys/a1-m01-l03-personal-information-and-classroom-english-reading-lesson-3-answer-key.pdf,audio/a1-m01-l03-listening.mp3
A1-M01-L04,A1,A1 Starter English,1,Personal Information and Classroom English,4,Personal Information and Classroom English: Listening Lesson 4,listening,worksheets/a1-m01-l04-personal-information-and-classroom-english-listening-lesson-4.docx,worksheets/a1-m01-l04-personal-information-and-classroom-english-listening-lesson-4.pdf,answer_keys/a1-m01-l04-personal-information-and-classroom-english-listening-lesson-4-answer-key.pdf,audio/a1-m01-l04-listening.mp3
A1-M01-L05,A1,A1 Starter English,1,Personal Information and Classroom English,5,Personal Information and Classroom English: Speaking Lesson 5,speaking,worksheets/a1-m01-l05-personal-information-and-classroom-english-speaking-lesson-5.docx,worksheets/a1-m01-l05-personal-information-and-classroom-english-speaking-lesson-5.pdf,answer_keys/a1-m01-l05-personal-information-and-classroom-english-speaking-lesson-5-answer-key.pdf,audio/a1-m01-l05-listening.mp3
A1-M01-L06,A1,A1 Starter English,1,Personal Information and Classroom English,6,Personal Information and Classroom English: Writing Lesson 6,writing,worksheets/a1-m01-l06-personal-information-and-classroom-english-writing-lesson-6.docx,worksheets/a1-m01-l06-personal-information-and-classroom-english-writing-lesson-6.pdf,answer_keys/a1-m01-l06-personal-information-and-classroom-english-writing-lesson-6-answer-key.pdf,audio/a1-m01-l06-listening.mp3
A1-M02-L01,A1,A1 Starter English,2,"Home, Family and Daily Objects",1,"Home, Family and Daily Objects: Grammar Lesson 1",grammar,worksheets/a1-m02-l01-home-family-and-daily-objects-grammar-lesson-1.docx,worksheets/a1-m02-l01-home-family-and-daily-objects-grammar-lesson-1.pdf,answer_keys/a1-m02-l01-home-family-and-daily-objects-grammar-lesson-1-answer-key.pdf,audio/a1-m02-l01-listening.mp3
A1-M02-L02,A1,A1 Starter English,2,"Home, Family and Daily Objects",2,"Home, Family and Daily Objects: Vocabulary Lesson 2",vocabulary,worksheets/a1-m02-l02-home-family-and-daily-objects-vocabulary-lesson-2.docx,worksheets/a1-m02-l02-home-family-and-daily-objects-vocabulary-lesson-2.pdf,answer_keys/a1-m02-l02-home-family-and-daily-objects-vocabulary-lesson-2-answer-key.pdf,audio/a1-m02-l02-listening.mp3
A1-M02-L03,A1,A1 Starter English,2,"Home, Family and Daily Objects",3,"Home, Family and Daily Objects: Reading Lesson 3",reading,worksheets/a1-m02-l03-home-family-and-daily-objects-reading-lesson-3.docx,worksheets/a1-m02-l03-home-family-and-daily-objects-reading-lesson-3.pdf,answer_keys/a1-m02-l03-home-family-and-daily-objects-reading-lesson-3-answer-key.pdf,audio/a1-m02-l03-listening.mp3
A1-M02-L04,A1,A1 Starter English,2,"Home, Family and Daily Objects",4,"Home, Family and Daily Objects: Listening Lesson 4",listening,worksheets/a1-m02-l04-home-family-and-daily-objects-listening-lesson-4.docx,worksheets/a1-m02-l04-home-family-and-daily-objects-listening-lesson-4.pdf,answer_keys/a1-m02-l04-home-family-and-daily-objects-listening-lesson-4-answer-key.pdf,audio/a1-m02-l04-listening.mp3
A1-M02-L05,A1,A1 Starter English,2,"Home, Family and Daily Objects",5,"Home, Family and Daily Objects: Speaking Lesson 5",speaking,worksheets/a1-m02-l05-home-family-and-daily-objects-speaking-lesson-5.docx,worksheets/a1-m02-l05-home-family-and-daily-objects-speaking-lesson-5.pdf,answer_keys/a1-m02-l05-home-family-and-daily-objects-speaking-lesson-5-answer-key.pdf,audio/a1-m02-l05-listening.mp3
A1-M02-L06,A1,A1 Starter English,2,"Home, Family and Daily Objects",6,"Home, Family and Daily Objects: Writing Lesson 6",writing,worksheets/a1-m02-l06-home-family-and-daily-objects-writing-lesson-6.docx,worksheets/a1-m02-l06-home-family-and-daily-objects-writing-lesson-6.pdf,answer_keys/a1-m02-l06-home-family-and-daily-objects-writing-lesson-6-answer-key.pdf,audio/a1-m02-l06-listening.mp3
A1-M03-L01,A1,A1 Starter English,3,"Food, Shopping and Simple Requests",1,"Food, Shopping and Simple Requests: Grammar Lesson 1",grammar,worksheets/a1-m03-l01-food-shopping-and-simple-requests-grammar-lesson-1.docx,worksheets/a1-m03-l01-food-shopping-and-simple-requests-grammar-lesson-1.pdf,answer_keys/a1-m03-l01-food-shopping-and-simple-requests-grammar-lesson-1-answer-key.pdf,audio/a1-m03-l01-listening.mp3
A1-M03-L02,A1,A1 Starter English,3,"Food, Shopping and Simple Requests",2,"Food, Shopping and Simple Requests: Vocabulary Lesson 2",vocabulary,worksheets/a1-m03-l02-food-shopping-and-simple-requests-vocabulary-lesson-2.docx,worksheets/a1-m03-l02-food-shopping-and-simple-requests-vocabulary-lesson-2.pdf,answer_keys/a1-m03-l02-food-shopping-and-simple-requests-vocabulary-lesson-2-answer-key.pdf,audio/a1-m03-l02-listening.mp3
A1-M03-L03,A1,A1 Starter English,3,"Food, Shopping and Simple Requests",3,"Food, Shopping and Simple Requests: Reading Lesson 3",reading,worksheets/a1-m03-l03-food-shopping-and-simple-requests-reading-lesson-3.docx,worksheets/a1-m03-l03-food-shopping-and-simple-requests-reading-lesson-3.pdf,answer_keys/a1-m03-l03-food-shopping-and-simple-requests-reading-lesson-3-answer-key.pdf,audio/a1-m03-l03-listening.mp3
A1-M03-L04,A1,A1 Starter English,3,"Food, Shopping and Simple Requests",4,"Food, Shopping and Simple Requests: Listening Lesson 4",listening,worksheets/a1-m03-l04-food-shopping-and-simple-requests-listening-lesson-4.docx,worksheets/a1-m03-l04-food-shopping-and-simple-requests-listening-lesson-4.pdf,answer_keys/a1-m03-l04-food-shopping-and-simple-requests-listening-lesson-4-answer-key.pdf,audio/a1-m03-l04-listening.mp3
A1-M03-L05,A1,A1 Starter English,3,"Food, Shopping and Simple Requests",5,"Food, Shopping and Simple Requests: Speaking Lesson 5",speaking,worksheets/a1-m03-l05-food-shopping-and-simple-requests-speaking-lesson-5.docx,worksheets/a1-m03-l05-food-shopping-and-simple-requests-speaking-lesson-5.pdf,answer_keys/a1-m03-l05-food-shopping-and-simple-requests-speaking-lesson-5-answer-key.pdf,audio/a1-m03-l05-listening.mp3
A1-M03-L06,A1,A1 Starter English,3,"Food, Shopping and Simple Requests",6,"Food, Shopping and Simple Requests: Writing Lesson 6",writing,worksheets/a1-m03-l06-food-shopping-and-simple-requests-writing-lesson-6.docx,worksheets/a1-m03-l06-food-shopping-and-simple-requests-writing-lesson-6.pdf,answer_keys/a1-m03-l06-food-shopping-and-simple-requests-writing-lesson-6-answer-key.pdf,audio/a1-m03-l06-listening.mp3
A1-M04-L01,A1,A1 Starter English,4,"Places, Directions and Local Life",1,"Places, Directions and Local Life: Grammar Lesson 1",grammar,worksheets/a1-m04-l01-places-directions-and-local-life-grammar-lesson-1.docx,worksheets/a1-m04-l01-places-directions-and-local-life-grammar-lesson-1.pdf,answer_keys/a1-m04-l01-places-directions-and-local-life-grammar-lesson-1-answer-key.pdf,audio/a1-m04-l01-listening.mp3
A1-M04-L02,A1,A1 Starter English,4,"Places, Directions and Local Life",2,"Places, Directions and Local Life: Vocabulary Lesson 2",vocabulary,worksheets/a1-m04-l02-places-directions-and-local-life-vocabulary-lesson-2.docx,worksheets/a1-m04-l02-places-directions-and-local-life-vocabulary-lesson-2.pdf,answer_keys/a1-m04-l02-places-directions-and-local-life-vocabulary-lesson-2-answer-key.pdf,audio/a1-m04-l02-listening.mp3
A1-M04-L03,A1,A1 Starter English,4,"Places, Directions and Local Life",3,"Places, Directions and Local Life: Reading Lesson 3",reading,worksheets/a1-m04-l03-places-directions-and-local-life-reading-lesson-3.docx,worksheets/a1-m04-l03-places-directions-and-local-life-reading-lesson-3.pdf,answer_keys/a1-m04-l03-places-directions-and-local-life-reading-lesson-3-answer-key.pdf,audio/a1-m04-l03-listening.mp3
A1-M04-L04,A1,A1 Starter English,4,"Places, Directions and Local Life",4,"Places, Directions and Local Life: Listening Lesson 4",listening,worksheets/a1-m04-l04-places-directions-and-local-life-listening-lesson-4.docx,worksheets/a1-m04-l04-places-directions-and-local-life-listening-lesson-4.pdf,answer_keys/a1-m04-l04-places-directions-and-local-life-listening-lesson-4-answer-key.pdf,audio/a1-m04-l04-listening.mp3
A1-M04-L05,A1,A1 Starter English,4,"Places, Directions and Local Life",5,"Places, Directions and Local Life: Speaking Lesson 5",speaking,worksheets/a1-m04-l05-places-directions-and-local-life-speaking-lesson-5.docx,worksheets/a1-m04-l05-places-directions-and-local-life-speaking-lesson-5.pdf,answer_keys/a1-m04-l05-places-directions-and-local-life-speaking-lesson-5-answer-key.pdf,audio/a1-m04-l05-listening.mp3
A1-M04-L06,A1,A1 Starter English,4,"Places, Directions and Local Life",6,"Places, Directions and Local Life: Writing Lesson 6",writing,worksheets/a1-m04-l06-places-directions-and-local-life-writing-lesson-6.docx,worksheets/a1-m04-l06-places-directions-and-local-life-writing-lesson-6.pdf,answer_keys/a1-m04-l06-places-directions-and-local-life-writing-lesson-6-answer-key.pdf,audio/a1-m04-l06-listening.mp3
A1-M05-L01,A1,A1 Starter English,5,Daily Routines and Free Time,1,Daily Routines and Free Time: Grammar Lesson 1,grammar,worksheets/a1-m05-l01-daily-routines-and-free-time-grammar-lesson-1.docx,worksheets/a1-m05-l01-daily-routines-and-free-time-grammar-lesson-1.pdf,answer_keys/a1-m05-l01-daily-routines-and-free-time-grammar-lesson-1-answer-key.pdf,audio/a1-m05-l01-listening.mp3
A1-M05-L02,A1,A1 Starter English,5,Daily Routines and Free Time,2,Daily Routines and Free Time: Vocabulary Lesson 2,vocabulary,worksheets/a1-m05-l02-daily-routines-and-free-time-vocabulary-lesson-2.docx,worksheets/a1-m05-l02-daily-routines-and-free-time-vocabulary-lesson-2.pdf,answer_keys/a1-m05-l02-daily-routines-and-free-time-vocabulary-lesson-2-answer-key.pdf,audio/a1-m05-l02-listening.mp3
A1-M05-L03,A1,A1 Starter English,5,Daily Routines and Free Time,3,Daily Routines and Free Time: Reading Lesson 3,reading,worksheets/a1-m05-l03-daily-routines-and-free-time-reading-lesson-3.docx,worksheets/a1-m05-l03-daily-routines-and-free-time-reading-lesson-3.pdf,answer_keys/a1-m05-l03-daily-routines-and-free-time-reading-lesson-3-answer-key.pdf,audio/a1-m05-l03-listening.mp3
A1-M05-L04,A1,A1 Starter English,5,Daily Routines and Free Time,4,Daily Routines and Free Time: Listening Lesson 4,listening,worksheets/a1-m05-l04-daily-routines-and-free-time-listening-lesson-4.docx,worksheets/a1-m05-l04-daily-routines-and-free-time-listening-lesson-4.pdf,answer_keys/a1-m05-l04-daily-routines-and-free-time-listening-lesson-4-answer-key.pdf,audio/a1-m05-l04-listening.mp3
A1-M05-L05,A1,A1 Starter English,5,Daily Routines and Free Time,5,Daily Routines and Free Time: Speaking Lesson 5,speaking,worksheets/a1-m05-l05-daily-routines-and-free-time-speaking-lesson-5.docx,worksheets/a1-m05-l05-daily-routines-and-free-time-speaking-lesson-5.pdf,answer_keys/a1-m05-l05-daily-routines-and-free-time-speaking-lesson-5-answer-key.pdf,audio/a1-m05-l05-listening.mp3
A1-M05-L06,A1,A1 Starter English,5,Daily Routines and Free Time,6,Daily Routines and Free Time: Writing Lesson 6,writing,worksheets/a1-m05-l06-daily-routines-and-free-time-writing-lesson-6.docx,worksheets/a1-m05-l06-daily-routines-and-free-time-writing-lesson-6.pdf,answer_keys/a1-m05-l06-daily-routines-and-free-time-writing-lesson-6-answer-key.pdf,audio/a1-m05-l06-listening.mp3
A1-M06-L01,A1,A1 Starter English,6,"A1 Review, Speaking and Everyday Tasks",1,"A1 Review, Speaking and Everyday Tasks: Grammar Lesson 1",grammar,worksheets/a1-m06-l01-a1-review-speaking-and-everyday-tasks-grammar-lesson-1.docx,worksheets/a1-m06-l01-a1-review-speaking-and-everyday-tasks-grammar-lesson-1.pdf,answer_keys/a1-m06-l01-a1-review-speaking-and-everyday-tasks-grammar-lesson-1-answer-key.pdf,audio/a1-m06-l01-listening.mp3
A1-M06-L02,A1,A1 Starter English,6,"A1 Review, Speaking and Everyday Tasks",2,"A1 Review, Speaking and Everyday Tasks: Vocabulary Lesson 2",vocabulary,worksheets/a1-m06-l02-a1-review-speaking-and-everyday-tasks-vocabulary-lesson-2.docx,worksheets/a1-m06-l02-a1-review-speaking-and-everyday-tasks-vocabulary-lesson-2.pdf,answer_keys/a1-m06-l02-a1-review-speaking-and-everyday-tasks-vocabulary-lesson-2-answer-key.pdf,audio/a1-m06-l02-listening.mp3
A1-M06-L03,A1,A1 Starter English,6,"A1 Review, Speaking and Everyday Tasks",3,"A1 Review, Speaking and Everyday Tasks: Reading Lesson 3",reading,worksheets/a1-m06-l03-a1-review-speaking-and-everyday-tasks-reading-lesson-3.docx,worksheets/a1-m06-l03-a1-review-speaking-and-everyday-tasks-reading-lesson-3.pdf,answer_keys/a1-m06-l03-a1-review-speaking-and-everyday-tasks-reading-lesson-3-answer-key.pdf,audio/a1-m06-l03-listening.mp3
A1-M06-L04,A1,A1 Starter English,6,"A1 Review, Speaking and Everyday Tasks",4,"A1 Review, Speaking and Everyday Tasks: Listening Lesson 4",listening,worksheets/a1-m06-l04-a1-review-speaking-and-everyday-tasks-listening-lesson-4.docx,worksheets/a1-m06-l04-a1-review-speaking-and-everyday-tasks-listening-lesson-4.pdf,answer_keys/a1-m06-l04-a1-review-speaking-and-everyday-tasks-listening-lesson-4-answer-key.pdf,audio/a1-m06-l04-listening.mp3
A1-M06-L05,A1,A1 Starter English,6,"A1 Review, Speaking and Everyday Tasks",5,"A1 Review, Speaking and Everyday Tasks: Speaking Lesson 5",speaking,worksheets/a1-m06-l05-a1-review-speaking-and-everyday-tasks-speaking-lesson-5.docx,worksheets/a1-m06-l05-a1-review-speaking-and-everyday-tasks-speaking-lesson-5.pdf,answer_keys/a1-m06-l05-a1-review-speaking-and-everyday-tasks-speaking-lesson-5-answer-key.pdf,audio/a1-m06-l05-listening.mp3
A1-M06-L06,A1,A1 Starter English,6,"A1 Review, Speaking and Everyday Tasks",6,"A1 Review, Speaking and Everyday Tasks: Writing Lesson 6",writing,worksheets/a1-m06-l06-a1-review-speaking-and-everyday-tasks-writing-lesson-6.docx,worksheets/a1-m06-l06-a1-review-speaking-and-everyday-tasks-writing-lesson-6.pdf,answer_keys/a1-m06-l06-a1-review-speaking-and-everyday-tasks-writing-lesson-6-answer-key.pdf,audio/a1-m06-l06-listening.mp3
A2-M01-L01,A2,A2 Everyday English,1,Daily Life and Social Communication,1,Daily Life and Social Communication: Grammar Lesson 1,grammar,worksheets/a2-m01-l01-daily-life-and-social-communication-grammar-lesson-1.docx,worksheets/a2-m01-l01-daily-life-and-social-communication-grammar-lesson-1.pdf,answer_keys/a2-m01-l01-daily-life-and-social-communication-grammar-lesson-1-answer-key.pdf,audio/a2-m01-l01-listening.mp3
A2-M01-L02,A2,A2 Everyday English,1,Daily Life and Social Communication,2,Daily Life and Social Communication: Vocabulary Lesson 2,vocabulary,worksheets/a2-m01-l02-daily-life-and-social-communication-vocabulary-lesson-2.docx,worksheets/a2-m01-l02-daily-life-and-social-communication-vocabulary-lesson-2.pdf,answer_keys/a2-m01-l02-daily-life-and-social-communication-vocabulary-lesson-2-answer-key.pdf,audio/a2-m01-l02-listening.mp3
A2-M01-L03,A2,A2 Everyday English,1,Daily Life and Social Communication,3,Daily Life and Social Communication: Reading Lesson 3,reading,worksheets/a2-m01-l03-daily-life-and-social-communication-reading-lesson-3.docx,worksheets/a2-m01-l03-daily-life-and-social-communication-reading-lesson-3.pdf,answer_keys/a2-m01-l03-daily-life-and-social-communication-reading-lesson-3-answer-key.pdf,audio/a2-m01-l03-listening.mp3
A2-M01-L04,A2,A2 Everyday English,1,Daily Life and Social Communication,4,Daily Life and Social Communication: Listening Lesson 4,listening,worksheets/a2-m01-l04-daily-life-and-social-communication-listening-lesson-4.docx,worksheets/a2-m01-l04-daily-life-and-social-communication-listening-lesson-4.pdf,answer_keys/a2-m01-l04-daily-life-and-social-communication-listening-lesson-4-answer-key.pdf,audio/a2-m01-l04-listening.mp3
A2-M01-L05,A2,A2 Everyday English,1,Daily Life and Social Communication,5,Daily Life and Social Communication: Speaking Lesson 5,speaking,worksheets/a2-m01-l05-daily-life-and-social-communication-speaking-lesson-5.docx,worksheets/a2-m01-l05-daily-life-and-social-communication-speaking-lesson-5.pdf,answer_keys/a2-m01-l05-daily-life-and-social-communication-speaking-lesson-5-answer-key.pdf,audio/a2-m01-l05-listening.mp3
