brand,legacy_brand_source,legacy_lesson_id,bea_lesson_id,course_title,cefr_level,module_number,module_title,lesson_number,lesson_title,primary_skill,grammar_target,vocabulary_theme,learning_objective,polly_voice_id,polly_engine,fallback_voice_id,fallback_engine,language_code,output_format,text_type,ssml_file,plain_text_file,transcript_file,vtt_placeholder_file,pronunciation_ssml_file,target_s3_key,target_pronunciation_s3_key,lms_media_type,lms_access_level,qa_status
British English Academy,BEA curriculum pack,A1-M01-L01,BEA-A1-M01-L01,A1 Starter English,A1,1,Personal Information and Classroom English,1,Personal Information and Classroom English: Grammar Lesson 1,grammar,be: am/is/are,personal information,"Learners can name, identify, ask and answer basic questions in a grammar task about personal information.",Amy,neural,Amy,standard,en-GB,mp3,ssml,ssml/lessons/A1/bea-a1-m01-l01-personal-information-and-classroom-english-grammar-lesson-1.ssml,plain_text/lessons/A1/bea-a1-m01-l01-personal-information-and-classroom-english-grammar-lesson-1.txt,transcripts/lessons/A1/bea-a1-m01-l01-personal-information-and-classroom-english-grammar-lesson-1.txt,captions/vtt_placeholders/A1/bea-a1-m01-l01-personal-information-and-classroom-english-grammar-lesson-1.vtt,ssml/pronunciation_drills/A1/bea-a1-m01-l01-personal-information-and-classroom-english-grammar-lesson-1-pronunciation.ssml,bea/audio/A1/bea-a1-m01-l01-personal-information-and-classroom-english-grammar-lesson-1.mp3,bea/audio/A1/pronunciation/bea-a1-m01-l01-personal-information-and-classroom-english-grammar-lesson-1-pronunciation.mp3,listening_activity,course_or_trial_mapped,generated_pending_audio_qa
British English Academy,BEA curriculum pack,A1-M01-L02,BEA-A1-M01-L02,A1 Starter English,A1,1,Personal Information and Classroom English,2,Personal Information and Classroom English: Vocabulary Lesson 2,vocabulary,there is/there are,family,"Learners can name, identify, ask and answer basic questions in a vocabulary task about family.",Amy,neural,Amy,standard,en-GB,mp3,ssml,ssml/lessons/A1/bea-a1-m01-l02-personal-information-and-classroom-english-vocabulary-lesson-2.ssml,plain_text/lessons/A1/bea-a1-m01-l02-personal-information-and-classroom-english-vocabulary-lesson-2.txt,transcripts/lessons/A1/bea-a1-m01-l02-personal-information-and-classroom-english-vocabulary-lesson-2.txt,captions/vtt_placeholders/A1/bea-a1-m01-l02-personal-information-and-classroom-english-vocabulary-lesson-2.vtt,ssml/pronunciation_drills/A1/bea-a1-m01-l02-personal-information-and-classroom-english-vocabulary-lesson-2-pronunciation.ssml,bea/audio/A1/bea-a1-m01-l02-personal-information-and-classroom-english-vocabulary-lesson-2.mp3,bea/audio/A1/pronunciation/bea-a1-m01-l02-personal-information-and-classroom-english-vocabulary-lesson-2-pronunciation.mp3,listening_activity,course_or_trial_mapped,generated_pending_audio_qa
British English Academy,BEA curriculum pack,A1-M01-L03,BEA-A1-M01-L03,A1 Starter English,A1,1,Personal Information and Classroom English,3,Personal Information and Classroom English: Reading Lesson 3,reading,present simple,numbers,"Learners can name, identify, ask and answer basic questions in a reading task about numbers.",Amy,neural,Amy,standard,en-GB,mp3,ssml,ssml/lessons/A1/bea-a1-m01-l03-personal-information-and-classroom-english-reading-lesson-3.ssml,plain_text/lessons/A1/bea-a1-m01-l03-personal-information-and-classroom-english-reading-lesson-3.txt,transcripts/lessons/A1/bea-a1-m01-l03-personal-information-and-classroom-english-reading-lesson-3.txt,captions/vtt_placeholders/A1/bea-a1-m01-l03-personal-information-and-classroom-english-reading-lesson-3.vtt,ssml/pronunciation_drills/A1/bea-a1-m01-l03-personal-information-and-classroom-english-reading-lesson-3-pronunciation.ssml,bea/audio/A1/bea-a1-m01-l03-personal-information-and-classroom-english-reading-lesson-3.mp3,bea/audio/A1/pronunciation/bea-a1-m01-l03-personal-information-and-classroom-english-reading-lesson-3-pronunciation.mp3,listening_activity,course_or_trial_mapped,generated_pending_audio_qa
British English Academy,BEA curriculum pack,A1-M01-L04,BEA-A1-M01-L04,A1 Starter English,A1,1,Personal Information and Classroom English,4,Personal Information and Classroom English: Listening Lesson 4,listening,can/can't,classroom,"Learners can name, identify, ask and answer basic questions in a listening task about classroom.",Amy,neural,Amy,standard,en-GB,mp3,ssml,ssml/lessons/A1/bea-a1-m01-l04-personal-information-and-classroom-english-listening-lesson-4.ssml,plain_text/lessons/A1/bea-a1-m01-l04-personal-information-and-classroom-english-listening-lesson-4.txt,transcripts/lessons/A1/bea-a1-m01-l04-personal-information-and-classroom-english-listening-lesson-4.txt,captions/vtt_placeholders/A1/bea-a1-m01-l04-personal-information-and-classroom-english-listening-lesson-4.vtt,ssml/pronunciation_drills/A1/bea-a1-m01-l04-personal-information-and-classroom-english-listening-lesson-4-pronunciation.ssml,bea/audio/A1/bea-a1-m01-l04-personal-information-and-classroom-english-listening-lesson-4.mp3,bea/audio/A1/pronunciation/bea-a1-m01-l04-personal-information-and-classroom-english-listening-lesson-4-pronunciation.mp3,listening_activity,course_or_trial_mapped,generated_pending_audio_qa
British English Academy,BEA curriculum pack,A1-M01-L05,BEA-A1-M01-L05,A1 Starter English,A1,1,Personal Information and Classroom English,5,Personal Information and Classroom English: Speaking Lesson 5,speaking,basic imperatives,food,"Learners can name, identify, ask and answer basic questions in a speaking task about food.",Amy,neural,Amy,standard,en-GB,mp3,ssml,ssml/lessons/A1/bea-a1-m01-l05-personal-information-and-classroom-english-speaking-lesson-5.ssml,plain_text/lessons/A1/bea-a1-m01-l05-personal-information-and-classroom-english-speaking-lesson-5.txt,transcripts/lessons/A1/bea-a1-m01-l05-personal-information-and-classroom-english-speaking-lesson-5.txt,captions/vtt_placeholders/A1/bea-a1-m01-l05-personal-information-and-classroom-english-speaking-lesson-5.vtt,ssml/pronunciation_drills/A1/bea-a1-m01-l05-personal-information-and-classroom-english-speaking-lesson-5-pronunciation.ssml,bea/audio/A1/bea-a1-m01-l05-personal-information-and-classroom-english-speaking-lesson-5.mp3,bea/audio/A1/pronunciation/bea-a1-m01-l05-personal-information-and-classroom-english-speaking-lesson-5-pronunciation.mp3,listening_activity,course_or_trial_mapped,generated_pending_audio_qa
British English Academy,BEA curriculum pack,A1-M01-L06,BEA-A1-M01-L06,A1 Starter English,A1,1,Personal Information and Classroom English,6,Personal Information and Classroom English: Writing Lesson 6,writing,singular/plural nouns,places,"Learners can name, identify, ask and answer basic questions in a writing task about places.",Amy,neural,Amy,standard,en-GB,mp3,ssml,ssml/lessons/A1/bea-a1-m01-l06-personal-information-and-classroom-english-writing-lesson-6.ssml,plain_text/lessons/A1/bea-a1-m01-l06-personal-information-and-classroom-english-writing-lesson-6.txt,transcripts/lessons/A1/bea-a1-m01-l06-personal-information-and-classroom-english-writing-lesson-6.txt,captions/vtt_placeholders/A1/bea-a1-m01-l06-personal-information-and-classroom-english-writing-lesson-6.vtt,ssml/pronunciation_drills/A1/bea-a1-m01-l06-personal-information-and-classroom-english-writing-lesson-6-pronunciation.ssml,bea/audio/A1/bea-a1-m01-l06-personal-information-and-classroom-english-writing-lesson-6.mp3,bea/audio/A1/pronunciation/bea-a1-m01-l06-personal-information-and-classroom-english-writing-lesson-6-pronunciation.mp3,listening_activity,course_or_trial_mapped,generated_pending_audio_qa
British English Academy,BEA curriculum pack,A1-M02-L01,BEA-A1-M02-L01,A1 Starter English,A1,2,"Home, Family and Daily Objects",1,"Home, Family and Daily Objects: Grammar Lesson 1",grammar,there is/there are,family,"Learners can name, identify, ask and answer basic questions in a grammar task about family.",Amy,neural,Amy,standard,en-GB,mp3,ssml,ssml/lessons/A1/bea-a1-m02-l01-home-family-and-daily-objects-grammar-lesson-1.ssml,plain_text/lessons/A1/bea-a1-m02-l01-home-family-and-daily-objects-grammar-lesson-1.txt,transcripts/lessons/A1/bea-a1-m02-l01-home-family-and-daily-objects-grammar-lesson-1.txt,captions/vtt_placeholders/A1/bea-a1-m02-l01-home-family-and-daily-objects-grammar-lesson-1.vtt,ssml/pronunciation_drills/A1/bea-a1-m02-l01-home-family-and-daily-objects-grammar-lesson-1-pronunciation.ssml,bea/audio/A1/bea-a1-m02-l01-home-family-and-daily-objects-grammar-lesson-1.mp3,bea/audio/A1/pronunciation/bea-a1-m02-l01-home-family-and-daily-objects-grammar-lesson-1-pronunciation.mp3,listening_activity,course_or_trial_mapped,generated_pending_audio_qa
British English Academy,BEA curriculum pack,A1-M02-L02,BEA-A1-M02-L02,A1 Starter English,A1,2,"Home, Family and Daily Objects",2,"Home, Family and Daily Objects: Vocabulary Lesson 2",vocabulary,present simple,numbers,"Learners can name, identify, ask and answer basic questions in a vocabulary task about numbers.",Amy,neural,Amy,standard,en-GB,mp3,ssml,ssml/lessons/A1/bea-a1-m02-l02-home-family-and-daily-objects-vocabulary-lesson-2.ssml,plain_text/lessons/A1/bea-a1-m02-l02-home-family-and-daily-objects-vocabulary-lesson-2.txt,transcripts/lessons/A1/bea-a1-m02-l02-home-family-and-daily-objects-vocabulary-lesson-2.txt,captions/vtt_placeholders/A1/bea-a1-m02-l02-home-family-and-daily-objects-vocabulary-lesson-2.vtt,ssml/pronunciation_drills/A1/bea-a1-m02-l02-home-family-and-daily-objects-vocabulary-lesson-2-pronunciation.ssml,bea/audio/A1/bea-a1-m02-l02-home-family-and-daily-objects-vocabulary-lesson-2.mp3,bea/audio/A1/pronunciation/bea-a1-m02-l02-home-family-and-daily-objects-vocabulary-lesson-2-pronunciation.mp3,listening_activity,course_or_trial_mapped,generated_pending_audio_qa
British English Academy,BEA curriculum pack,A1-M02-L03,BEA-A1-M02-L03,A1 Starter English,A1,2,"Home, Family and Daily Objects",3,"Home, Family and Daily Objects: Reading Lesson 3",reading,can/can't,classroom,"Learners can name, identify, ask and answer basic questions in a reading task about classroom.",Amy,neural,Amy,standard,en-GB,mp3,ssml,ssml/lessons/A1/bea-a1-m02-l03-home-family-and-daily-objects-reading-lesson-3.ssml,plain_text/lessons/A1/bea-a1-m02-l03-home-family-and-daily-objects-reading-lesson-3.txt,transcripts/lessons/A1/bea-a1-m02-l03-home-family-and-daily-objects-reading-lesson-3.txt,captions/vtt_placeholders/A1/bea-a1-m02-l03-home-family-and-daily-objects-reading-lesson-3.vtt,ssml/pronunciation_drills/A1/bea-a1-m02-l03-home-family-and-daily-objects-reading-lesson-3-pronunciation.ssml,bea/audio/A1/bea-a1-m02-l03-home-family-and-daily-objects-reading-lesson-3.mp3,bea/audio/A1/pronunciation/bea-a1-m02-l03-home-family-and-daily-objects-reading-lesson-3-pronunciation.mp3,listening_activity,course_or_trial_mapped,generated_pending_audio_qa
British English Academy,BEA curriculum pack,A1-M02-L04,BEA-A1-M02-L04,A1 Starter English,A1,2,"Home, Family and Daily Objects",4,"Home, Family and Daily Objects: Listening Lesson 4",listening,basic imperatives,food,"Learners can name, identify, ask and answer basic questions in a listening task about food.",Amy,neural,Amy,standard,en-GB,mp3,ssml,ssml/lessons/A1/bea-a1-m02-l04-home-family-and-daily-objects-listening-lesson-4.ssml,plain_text/lessons/A1/bea-a1-m02-l04-home-family-and-daily-objects-listening-lesson-4.txt,transcripts/lessons/A1/bea-a1-m02-l04-home-family-and-daily-objects-listening-lesson-4.txt,captions/vtt_placeholders/A1/bea-a1-m02-l04-home-family-and-daily-objects-listening-lesson-4.vtt,ssml/pronunciation_drills/A1/bea-a1-m02-l04-home-family-and-daily-objects-listening-lesson-4-pronunciation.ssml,bea/audio/A1/bea-a1-m02-l04-home-family-and-daily-objects-listening-lesson-4.mp3,bea/audio/A1/pronunciation/bea-a1-m02-l04-home-family-and-daily-objects-listening-lesson-4-pronunciation.mp3,listening_activity,course_or_trial_mapped,generated_pending_audio_qa
